;"Code Insee";"Code postal";"Commune";"Population";"Superficie";"Densité"
77;77001;77760;"Achères-la-Forêt";1040;;
77;77002;77120;"Amillis";685;;
77;77003;77760;"Amponville";301;;
77;77004;77390;"Andrezel";365;;
77;77005;77410;"Annet-sur-Marne";2482;;
77;77006;77630;"Arbonne-la-Forêt";947;;
77;77007;77390;"Argentières";364;;
77;77008;77440;"Armentières-en-Brie";1256;;
77;77009;77890;"Arville";121;;
77;77010;77720;"Aubepierre-Ozouer-le-Repos";867;;
77;77011;77570;"Aufferville";449;;
77;77012;77560;"Augers-en-Brie";260;;
77;77013;77120;"Aulnoy";332;;
77;77014;77210;"Avon";14586;;
77;77015;77480;"Baby";66;;
77;77016;77167;"Bagneaux-sur-Loing";1595;;
77;77018;77700;"Bailly-Romainvilliers  ";5375;;
77;77019;77118;"Balloy";358;;
77;77020;77970;"Bannost-Villegagnon";482;;
77;77021;77130;"Barbey";151;;
77;77022;77630;"Barbizon";1490;;
77;77023;77910;"Barcy  ";213;;
77;77024;77750;"Bassevelle";354;;
77;77025;77118;"Bazoches-lès-Bray";768;;
77;77026;77560;"Beauchery-Saint-Martin";363;;
77;77027;77890;"Beaumont-du-Gâtinais";981;;
77;77028;77120;"Beautheil";562;;
77;77029;77390;"Beauvoir";193;;
77;77030;77510;"Bellot";706;;
77;77031;77540;"Bernay-Vilbert";755;;
77;77032;77320;"Beton-Bazoches";700;;
77;77033;77970;"Bezalles";162;;
77;77034;77115;"Blandy";721;;
77;77035;77940;"Blennes";477;;
77;77036;77970;"Boisdon";77;;
77;77037;77590;"Bois-le-Roi";5820;;
77;77038;77350;"Boissettes  ";427;;
77;77039;77350;"Boissise-la-Bertrand  ";889;;
77;77040;77310;"Boissise-le-Roi  ";3653;;
77;77041;77760;"Boissy-aux-Cailles";271;;
77;77042;77169;"Boissy-le-Châtel";2661;;
77;77043;77750;"Boitron";335;;
77;77044;77720;"Bombon";912;;
77;77045;77570;"Bougligny";646;;
77;77046;77760;"Boulancourt";325;;
77;77047;77580;"Bouleurs";1228;;
77;77048;77780;"Bourron-Marlotte";2737;;
77;77049;77470;"Boutigny";803;;
77;77050;77620;"Bransles";463;;
77;77051;77480;"Bray-sur-Seine";2278;;
77;77052;77720;"Bréau";343;;
77;77053;77170;"Brie-Comte-Robert";13397;;
77;77054;77940;"La Brosse-Montceaux";599;;
77;77055;77177;"Brou-sur-Chantereine  ";4307;;
77;77056;77760;"Burcy";178;;
77;77057;77750;"Bussières";425;;
77;77058;77600;"Bussy-Saint-Georges";21985;;
77;77059;77600;"Bussy-Saint-Martin  ";573;;
77;77060;77760;"Buthiers";645;;
77;77061;77130;"Cannes-Écluse";2200;;
77;77062;77400;"Carnetin  ";436;;
77;77063;77515;"La Celle-sur-Morin";1106;;
77;77065;77930;"Cély";1010;;
77;77066;77320;"Cerneux";278;;
77;77067;77240;"Cesson ";7699;;
